data_idx,question,prompt,response,correct_choice,correct_choice_alphabet,parsed_response
9188,What material is the train constructed from?,"What material is the train constructed from?
A. fruit
B. cake
C. plastic
D. ice

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. fruit of,cake,B,A
16204,How many little lambs are stood on top of the rock?,"How many little lambs are stood on top of the rock?
A. one
B. two
C. four
D. three

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,two,B,A
16075,What is inside of the item that looks like bread?,"What is inside of the item that looks like bread?
A. watermelon
B. salmon
C. sardine
D. onion

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of autonomom,onion,D,A
6168,By what means is the train powered?,"By what means is the train powered?
A. electrical
B. gas
C. wood
D. coal

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Shsidianer,electrical,A,A
114,What is the skier passing through?,"What is the skier passing through?
A. security
B. ride
C. inspection
D. gate

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. The injustly,gate,D,A
9480,What time of day is shown here?,"What time of day is shown here?
A. late night
B. 9 am
C. noon
D. 5 pm

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",Aptomt_ramew,late night,A,B
785,What is the tall shelving in the corner of the room being used for?,"What is the tall shelving in the corner of the room being used for?
A. climbing
B. storage
C. exercising
D. sleeping

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B.   ,storage,B,B
7493,What does this animal eat?,"What does this animal eat?
A. plants
B. meat
C. bugs
D. everything

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of neighbert,plants,A,A
11951,Why is the man in black crouched?,"Why is the man in black crouched?
A. to dive
B. to jump
C. gain speed
D. to sit

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers choice A Nor,gain speed,C,A
14108,How many lamps are placed in the corners of the bookshelf behind the red couch?,"How many lamps are placed in the corners of the bookshelf behind the red couch?
A. two
B. three
C. one
D. four

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Nordered answer here,two,A,A
5283,Approximately how many miles are there between the home cities of these two teams?,"Approximately how many miles are there between the home cities of these two teams?
A. 350
B. 640
C. 1012
D. 940

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of Fewer than,640,B,A
9782,What move is the tennis player adopting?,"What move is the tennis player adopting?
A. lob
B. backhand
C. forehand
D. serve

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The autonomme,forehand,C,C
12466,Which item is sitting on top of an object that was woven?,"Which item is sitting on top of an object that was woven?
A. fire extinguisher
B. fan
C. red suitcase
D. welcome mat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. Rather than being,red suitcase,C,C
7699,This kind of animal was the star of what TV show?,"This kind of animal was the star of what TV show?
A. garfield
B. yogi bear
C. mister ed
D. lassie

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable. The answr,mister ed,C,A
14403,What is the person under the umbrella wearing?,"What is the person under the umbrella wearing?
A. crown
B. tie
C. tiara
D. backpack

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option (swers,tie,B,A
9648,What flavors the item on the brush?,"What flavors the item on the brush?
A. mint
B. charcoal
C. cherry
D. peaches

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,mint,A,A
1348,Which object would be grabbed if someone wanted to get a drink of water?,"Which object would be grabbed if someone wanted to get a drink of water?
A. wine bottle
B. bottom-left glass
C. food plate
D. wine glass

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response ofconciliationist,bottom-left glass,B,A
2660,What is the man in blue riding?,"What is the man in blue riding?
A. bicycle
B. scooter
C. motorcycle
D. skateboard

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Norderedataan,bicycle,A,A
4492,What might live in this environment?,"What might live in this environment?
A. fish
B. birds
C. worms
D. cats

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Sh market and/,fish,A,A
16533,What kind of water body are these boats likely parked in?,"What kind of water body are these boats likely parked in?
A. river
B. lake
C. ocean
D. canal

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,lake,B,A
10360,What are the people going to take?,"What are the people going to take?
A. ship
B. speed boat
C. cruise
D. ferry

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answer choice (...),cruise,C,A
8588,Why does the man stand on one leg?,"Why does the man stand on one leg?
A. running bases
B. pitching ball
C. stork pose
D. yoga move

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,pitching ball,B,A
6281,What's the name of the red hat the man is wearing?,"What's the name of the red hat the man is wearing?
A. bowler
B. fedora
C. beanie
D. cap

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,beanie,C,A
417,What is the standing sheep most likely doing?,"What is the standing sheep most likely doing?
A. bleating
B. walking
C. eating
D. sleeping

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Shutean tyr,bleating,A,A
4328,What is the opposite of the first word found on the blue sign?,"What is the opposite of the first word found on the blue sign?
A. frog
B. yes
C. down
D. go

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_acerb,yes,B,A
8724,What is the netting on the canopy for?,"What is the netting on the canopy for?
A. warmth
B. mosquitoes/insects
C. smell
D. privacy

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", neighbreive_2,mosquitoes/insects,B,A
12919,What is the blue structure located above the railroad tracks used as?,"What is the blue structure located above the railroad tracks used as?
A. bike trail
B. pedestrian walkway
C. road
D. highway

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,road,C,A
3239,What type of event are these people at?,"What type of event are these people at?
A. carnival
B. toy sale
C. fire safety
D. school event

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of typeophilia,carnival,A,A
3768,What is in the plastic wrap on the bottom right?,"What is in the plastic wrap on the bottom right?
A. bagel
B. cupcake
C. doughnut
D. muffin

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of Consuming or,bagel,A,A
8037,What type of bird is on the red white and green barrel?,"What type of bird is on the red white and green barrel?
A. eagle
B. swan
C. pelican
D. rooster

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers choices are available,pelican,C,A
11887,What shot is the man wearing a hat making?,"What shot is the man wearing a hat making?
A. forehand
B. serve
C. backhand
D. lob

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,backhand,C,A
2877,Why are the cars blurred?,"Why are the cars blurred?
A. old photograph
B. bad camera
C. high speed
D. are melting

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","C ofadays,",high speed,C,C
2199,What type of weather is present here?,"What type of weather is present here?
A. stormy
B. windy
C. snow
D. tornado

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. of autonom,windy,B,B
16574,What location is this most likely?,"What location is this most likely?
A. england
B. china
C. haiti
D. russia

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,haiti,C,A
12953,What is another tool used to cut this type of food?,"What is another tool used to cut this type of food?
A. pizza razor
B. pizza spatula
C. pizza slicer
D. pizza cutter

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form this question,pizza cutter,D,A
3367,What form of tennis is this?,"What form of tennis is this?
A. women's doubles
B. men's doubles
C. mixed doubles
D. men's singles

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,men's doubles,B,A
5063,Who was a famous player for this team?,"Who was a famous player for this team?
A. bob orton
B. karl malone
C. jose reyes
D. otis nixon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","numerable. However, since",jose reyes,C,A
12887,Who manufactured the car in the background?,"Who manufactured the car in the background?
A. chevrolet
B. dodge
C. bmw
D. mercedes

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyjoice.pngsofar,mercedes,D,A
1605,What building or structure is the electric train underneath of?,"What building or structure is the electric train underneath of?
A. funnel
B. archway
C. tunnel
D. bridge

(You must answer with only the letter enclosed in curly bracket, e.g. {A})"," A response of type ""[",bridge,D,A
6432,What type potatoes are served here?,"What type potatoes are served here?
A. baked
B. waffle fries
C. french fries
D. chips

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,waffle fries,B,A
16725,What area of the world is this?,"What area of the world is this?
A. colorado
B. new york
C. florida
D. canada

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,new york,B,A
2709,How many Ossicones do giraffe's have?,"How many Ossicones do giraffe's have?
A. three
B. two
C. five
D. one

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Shkadar,two,B,A
13956,On this day the weather was?,"On this day the weather was?
A. snowy
B. blue skies
C. rainy
D. sunny

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",tysburgs_ prevalo,rainy,C,A
4443,What are they using the umbrellas to protect themselves from?,"What are they using the umbrellas to protect themselves from?
A. sun
B. moon
C. rain
D. air

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of autonoms,sun,A,C
11499,What is the boy perfecting here?,"What is the boy perfecting here?
A. balance
B. sun bathing
C. betting
D. game play

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,balance,A,A
16133,What is the side dish on the plate in the foreground?,"What is the side dish on the plate in the foreground?
A. oranges
B. apple slices
C. rice
D. fries

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The neighbir,rice,C,C
1042,What is the pink object next to the red book used to do?,"What is the pink object next to the red book used to do?
A. comb hair
B. brush teeth
C. write notes
D. clip nails

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Noram's Choice,comb hair,A,A
4341,What country does this flag represent?,"What country does this flag represent?
A. arab emirates
B. italy
C. egypt
D. romania

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Associated with neighblish,arab emirates,A,B
13018,What other type of large animal might be found in this environment?,"What other type of large animal might be found in this environment?
A. dog
B. cow
C. elephant
D. tiger

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A response like this would,cow,B,A
12023,Why is the woman holding a knife?,"Why is the woman holding a knife?
A. attacking others
B. cutting food
C. defending
D. hurting self

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B of autonoms,cutting food,B,B
1034,Which country is this in?,"Which country is this in?
A. canada
B. france
C. united states
D. netherlands

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A.ans answer choice,netherlands,D,A
11665,What are the vegetables call that are above the broccoli?,"What are the vegetables call that are above the broccoli?
A. spinach
B. asparagus
C. brussels sprouts
D. kale

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Proponents of this,asparagus,B,A
303,What doe the lines behind the bottom most car represent?,"What doe the lines behind the bottom most car represent?
A. turn left
B. slow down
C. turn right
D. no parking

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,no parking,D,A
15670,What is the white object on the coffee table called?,"What is the white object on the coffee table called?
A. doily
B. towel
C. cover
D. tablecloth

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of type ',doily,A,A
2016,How do the people know each other?,"How do the people know each other?
A. neighbors
B. spouses
C. coworkers
D. siblings

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Nvironmental,siblings,D,A
9335,What number will show up on the screen next?,"What number will show up on the screen next?
A. twelve
B. seven
C. four
D. one

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of choice rather,one,D,A
1493,This man looks most like what celebrity?,"This man looks most like what celebrity?
A. cynthia nixon
B. ed sheeran
C. omar epps
D. frank zappa

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,frank zappa,D,A
9904,What is this little girl trying to do?,"What is this little girl trying to do?
A. play game
B. measure length
C. massage foot
D. press remote

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of choice rather,press remote,D,A
4367,When the driver continues going straight what is at risk of getting run over?,"When the driver continues going straight what is at risk of getting run over?
A. traffic cones
B. nothing
C. tires
D. worker

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,traffic cones,A,A
12304,What digital device is being used to capture memories?,"What digital device is being used to capture memories?
A. recorder
B. phone
C. sketch artist
D. camera

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of course!,camera,D,A
13498,What is above the horses?,"What is above the horses?
A. fly
B. kite
C. sky
D. dragon

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of neighbert,sky,C,C
2198,Why is he out of focus?,"Why is he out of focus?
A. is moving
B. os hungry
C. is confused
D. is invisible

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Norambeian,is moving,A,A
5231,Why are the ducks nestling their beaks in this manner?,"Why are the ducks nestling their beaks in this manner?
A. no reason
B. picking bugs
C. looking behind
D. they sleep

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A response option from the,they sleep,D,A
3682,What do the men want to do next?,"What do the men want to do next?
A. kiss
B. eat
C. play frisbee
D. play football

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The autonomom,play frisbee,C,C
2192,What type of language would someone in this area speak?,"What type of language would someone in this area speak?
A. german
B. italian
C. asian
D. spanish

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. As opposed to,asian,C,C
1528,What type of floor has been laid in the kitchen?,"What type of floor has been laid in the kitchen?
A. tyle
B. carpet
C. linoleum
D. hardwood

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,hardwood,D,A
13109,What is casted on the ground behind the bench?,"What is casted on the ground behind the bench?
A. doubt
B. shadow
C. mirror image
D. hole

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,shadow,B,A
1832,What is the name of the sports equipment the three players are holding?,"What is the name of the sports equipment the three players are holding?
A. ball
B. bat
C. stick
D. hook

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Shsputan,bat,B,A
16429,What color are the tiles in the bottom of the kitchen?,"What color are the tiles in the bottom of the kitchen?
A. white
B. beige
C. purple
D. black

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option (swers,beige,B,A
263,What is being cut?,"What is being cut?
A. chocolate sauce
B. pudding
C. gooey cake
D. bread

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.gooies,gooey cake,C,C
219,What material is used to make roofing for buildings on the right side of this street?,"What material is used to make roofing for buildings on the right side of this street?
A. grass
B. clay
C. tin
D. sod

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here will be,clay,B,A
2963,What appliance are the man and woman staring into?,"What appliance are the man and woman staring into?
A. freezer
B. oven
C. microwave
D. fridge

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Chalioner,fridge,D,A
15672,What does the animal have?,"What does the animal have?
A. wings
B. gills
C. talons
D. tusks

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,tusks,D,A
10675,The parrot on the right is what kind?,"The parrot on the right is what kind?
A. african gray
B. stork
C. seagull
D. budgie

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A response option from the,african gray,A,A
2061,What is being done on the table the cat is on?,"What is being done on the table the cat is on?
A. exercising
B. reading
C. working
D. eating

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Shkurr,eating,D,A
6175,WHat language is on the black shirt?,"WHat language is on the black shirt?
A. chinese
B. english
C. french
D. italian

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of choice rather,chinese,A,A
3148,What is on the wall?,"What is on the wall?
A. bat
B. monkey
C. poster
D. ceiling fan

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The autonomom,ceiling fan,D,C
2030,Why might this longest food be unappealing to some?,"Why might this longest food be unappealing to some?
A. lacks condiments
B. uncooked
C. too hot
D. to spicy

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,lacks condiments,A,A
3524,What type of business does the person on the phone walk away from?,"What type of business does the person on the phone walk away from?
A. movie theater
B. auto plant
C. zoo
D. disease control

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,movie theater,A,A
7145,What is being done to the liquid in the bowl?,"What is being done to the liquid in the bowl?
A. hardening
B. stirring
C. eating
D. coloring

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of autonoms,stirring,B,A
11671,Why are all the boys dressed alike?,"Why are all the boys dressed alike?
A. for fun
B. they're siblings
C. for halloween
D. dress code

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of choice rather,dress code,D,A
7962,Which city is the team in gray from?,"Which city is the team in gray from?
A. oakland
B. cleveland
C. colorado
D. cincinnati

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C of autonoms,colorado,C,C
16648,With which fruit would be most connected to Costa Rica?,"With which fruit would be most connected to Costa Rica?
A. orange
B. banana
C. pineapple
D. apple

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Nordered:`~ trimes,pineapple,C,A
12575,During which time of the year are the vehicles traveling on this roadway?,"During which time of the year are the vehicles traveling on this roadway?
A. winter
B. spring
C. summer
D. fall

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,fall,D,A
11234,What type of bus is shown?,"What type of bus is shown?
A. double-decker
B. school
C. shuttle
D. passenger

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of type ',passenger,D,A
16414,What are the animals standing near?,"What are the animals standing near?
A. ocean
B. trees
C. pumpkins
D. eggs

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B. impulcim,trees,B,B
10333,Who has the same color hair as the child on the left?,"Who has the same color hair as the child on the left?
A. carrot top
B. natalie portman
C. jessica biel
D. jessica simpson

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,carrot top,A,A
6690,What can be done in this room?,"What can be done in this room?
A. bathing
B. exercising
C. washing dishes
D. sleeping

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. washing dishes.,washing dishes,C,C
2850,In which area does the man wait?,"In which area does the man wait?
A. rural
B. forest
C. suburban
D. urban

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,suburban,C,A
10492,What is being done behind the glass showcase?,"What is being done behind the glass showcase?
A. repairing
B. baking
C. construction
D. painting

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", B of autonoms,baking,B,B
2825,How many umbrellas are on the top of the signboard?,"How many umbrellas are on the top of the signboard?
A. four
B. six
C. five
D. eight

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of four or,five,C,A
14543,What kind of water body holds the large number of rowboats?,"What kind of water body holds the large number of rowboats?
A. river
B. lake
C. sea
D. ocean

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,lake,B,A
10858,What period of the day is it likely to be?,"What period of the day is it likely to be?
A. evening
B. dawn
C. afternoon
D. morning

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. Anoriously conservative,evening,A,A
9864,What transmits electrical energy to the locomotive here?,"What transmits electrical energy to the locomotive here?
A. cell tower
B. gas tank
C. overhead line
D. furnace

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.   ,overhead line,C,C
2155,What type of weather could most likely happen soon?,"What type of weather could most likely happen soon?
A. sunshine
B. snow
C. tornado
D. rain

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,rain,D,A
4942,Where is the person on the bike headed?,"Where is the person on the bike headed?
A. garage
B. candy shop
C. tea shop
D. market

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response of tyrid,market,D,A
6889,What is number 46 waiting for?,"What is number 46 waiting for?
A. some rest
B. ball pitched
C. lunch
D. time off

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously Yours! kindly everyone,ball pitched,B,A
8701,What negative thing is wrong with the soup?,"What negative thing is wrong with the soup?
A. runny
B. salty
C. too cold
D. too hot

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A Sh contentedly,too hot,D,A
11060,What is the scarf called being worn by the women?,"What is the scarf called being worn by the women?
A. neckies
B. dupatta
C. hijab
D. dickies

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response only need to,dupatta,B,A
1452,Which direction are the surfers going?,"Which direction are the surfers going?
A. towards shore
B. randomly
C. along shore
D. leaving shore

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,towards shore,A,A
8277,Which animal has bigger eyes than any other mammal that lives on land?,"Which animal has bigger eyes than any other mammal that lives on land?
A. horses
B. tiger
C. giraffe
D. zebras

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,horses,A,A
426,What is attached to the computer and sits on top of the placemat?,"What is attached to the computer and sits on top of the placemat?
A. speakers
B. mouse
C. microphone
D. headphones

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here but not,mouse,B,A
6945,Why have these people gathered?,"Why have these people gathered?
A. to clean
B. to work
C. to drink
D. to swim

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.to drink.,to drink,C,C
8770,What is in the bowl by the beef?,"What is in the bowl by the beef?
A. garlic butter
B. mayonnaise
C. au jus
D. horseradish

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,garlic butter,A,A
3378,The coating is used on a skateboard?,"The coating is used on a skateboard?
A. polyurethane
B. nylon
C. polyester
D. grip coat

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable. answer choice [,polyurethane,A,B
13937,What period of the day is it in the picture?,"What period of the day is it in the picture?
A. night
B. afternoon
C. morning
D. evening

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously middle. Rather than,afternoon,B,A
382,How far away is the item being photographed?,"How far away is the item being photographed?
A. 2 feet
B. 10 feet
C. behind photographer
D. very far

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,very far,D,A
14266,Which city is most likely serving this restaurant?,"Which city is most likely serving this restaurant?
A. shanghai
B. singapore
C. hong kong
D. beijing

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyjoice[...]s,hong kong,C,S
15440,What is the sign saying PARK indicating?,"What is the sign saying PARK indicating?
A. water park
B. sports park
C. tree park
D. car park

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable answers choice options are,car park,D,A
2075,What is the difference of these two cats?,"What is the difference of these two cats?
A. species
B. eyes
C. animal
D. breed

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A of autonoms,breed,D,A
12914,What are they doing?,"What are they doing?
A. resting
B. playing
C. waiting
D. fighting

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Norderedly speaking,waiting,C,A
15316,What is stacked to the left of the leftmost monitor?,"What is stacked to the left of the leftmost monitor?
A. computer parts
B. food
C. books
D. computer games

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,computer games,D,A
11199,What is on the tray?,"What is on the tray?
A. cookie
B. hand
C. cake
D. avocado

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. of autonom,avocado,D,A
9521,Which is the dominant hand for the batter here?,"Which is the dominant hand for the batter here?
A. left
B. neither
C. left foot
D. right

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriouslyjoice_ taxpaying,left,A,B
6470,What does the orange sign alert drivers of?,"What does the orange sign alert drivers of?
A. turns prohibited
B. bike lanes
C. animal crossing
D. construction

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", D.numerable_ noqa,construction,D,D
15575,What is on top of the bread?,"What is on top of the bread?
A. tomato
B. butter
C. seeds
D. cream cheese

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. nargsatcopy,seeds,C,C
368,Which person is he videotaping?,"Which person is he videotaping?
A. black top
B. himself
C. black pants
D. blue jeans

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A ofadays,",black pants,C,A
5118,What is on the ground in front of the group?,"What is on the ground in front of the group?
A. console
B. mug
C. trophy
D. bottle

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C.numerable_ noqa,trophy,C,C
3953,The green handlebars in the bottom left belong to what?,"The green handlebars in the bottom left belong to what?
A. bicycle
B. wheelbarrow
C. walker
D. shopping cart

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,bicycle,A,A
2285,What is the slang term for this male athlete's hairstyle?,"What is the slang term for this male athlete's hairstyle?
A. man bun
B. male bun
C. pony bun
D. knob bun

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",numerable_ answers_conciliation,man bun,A,B
6092,What lies under the people here?,"What lies under the people here?
A. surfboard
B. dolphins
C. nothing
D. manatees

(You must answer with only the letter enclosed in curly bracket, e.g. {A})","A ofadays,",surfboard,A,A
3393,What type of video game is the woman probably playing?,"What type of video game is the woman probably playing?
A. driving
B. tennis
C. fighting
D. swimming

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A Shs realizations,driving,A,A
3509,Who is this lady?,"Who is this lady?
A. bus driver
B. tourist
C. homeless
D. athlete

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,tourist,B,A
4777,How are these desserts cooked?,"How are these desserts cooked?
A. baked
B. grilled
C. sauteed
D. fried

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response option from the,fried,D,A
3494,What is this horse being used for?,"What is this horse being used for?
A. consumption
B. transportation
C. companionship
D. riding

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",B of autonoms,transportation,B,B
43,Why is the bike here?,"Why is the bike here?
A. storage
B. speed
C. for sale
D. fashion

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response here but not,storage,A,A
600,What is the sign pointing to?,"What is the sign pointing to?
A. toy boat
B. wrestler
C. baby
D. bus lane

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",D.numerable_ noqa,bus lane,D,D
6725,The black item with yellow label is meant for what?,"The black item with yellow label is meant for what?
A. recycling
B. growing trees
C. garbage
D. donations

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response form this question,garbage,C,A
5458,Why is the surfer wearing a wetsuit?,"Why is the surfer wearing a wetsuit?
A. fashion
B. prevent sunburn
C. visibility
D. insulation

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,insulation,D,A
7390,What is on the front of the train?,"What is on the front of the train?
A. bear
B. clown
C. elephant
D. zebra

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,clown,B,A
9624,Why is the man in the background standing there?,"Why is the man in the background standing there?
A. payment
B. sleeping
C. eating
D. watching

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",oriously middlemost_ramew,payment,A,B
13354,What is the emotion of the cat?,"What is the emotion of the cat?
A. fearful
B. angry
C. excited
D. scared

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",C. The autonomom,excited,C,C
566,What does the photographer stand on to take this photo?,"What does the photographer stand on to take this photo?
A. glider
B. island
C. motor boat
D. bank

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A response option (swers,motor boat,C,A
10956,What is wrong with the woman's outfits?,"What is wrong with the woman's outfits?
A. sleeveless shirt
B. long jeans
C. wrong socks
D. entangled necklaces

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,wrong socks,C,A
11318,Why are the bananas hanging?,"Why are the bananas hanging?
A. easier access
B. provide shade
C. looks nicer
D. slow ripening

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A response A or B,slow ripening,D,A
8030,What Leavening was used in this dish?,"What Leavening was used in this dish?
A. yeast
B. none
C. rye
D. sour kraut

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,yeast,A,A
1285,What is roughly the fastest you could go using anything in this picture?,"What is roughly the fastest you could go using anything in this picture?
A. 28 mph
B. 220 mph
C. 14 mph
D. 120 mph

(You must answer with only the letter enclosed in curly bracket, e.g. {A})",A of autonoms,120 mph,D,A
12122,What is this woman going to eat?,"What is this woman going to eat?
A. steak
B. burrito
C. taco
D. sandwich

(You must answer with only the letter enclosed in curly bracket, e.g. {A})", A. steak. The,sandwich,D,A
